page_number,url
16,https://immovlan.be/en/detail/residence/for-sale/5060/velaine-sur-sambre/vbd78011
16,https://immovlan.be/en/detail/villa/for-sale/5060/falisolle/vbb94048
16,https://immovlan.be/en/detail/residence/for-sale/5060/tamines/vax72027
16,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vba10709
16,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbb23488
16,https://immovlan.be/en/detail/residence/for-sale/5060/auvelais/vbd25625
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd88661
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd88288
16,https://immovlan.be/en/detail/apartment/for-sale/5070/fosses-la-ville/vbd34370
16,https://immovlan.be/en/detail/apartment/for-sale/5070/fosses-la-ville/vbb83416
16,https://immovlan.be/en/detail/apartment/for-sale/5070/fosses-la-ville/vbd18117
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd66873
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd77018
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd79304
16,https://immovlan.be/en/detail/residence/for-sale/5070/fosses-la-ville/vbd00478
16,https://immovlan.be/en/detail/residence/for-sale/5070/aisemont/vbd86915
16,https://immovlan.be/en/detail/residence/for-sale/5070/le-roux/vbd85224
16,https://immovlan.be/en/detail/residence/for-sale/5070/le-roux/vbd82434
16,https://immovlan.be/en/detail/villa/for-sale/5070/sart-saint-laurent/vbd45300
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vbc31749
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vbc31778
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vbc48808
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vbc50751
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vbc50750
17,https://immovlan.be/en/detail/villa/for-sale/5070/sart-saint-laurent/vbd83433
17,https://immovlan.be/en/detail/residence/for-sale/5070/vitrival/vaw61178
17,https://immovlan.be/en/detail/residence/for-sale/5080/la-bruyere/vbd83657
17,https://immovlan.be/en/detail/residence/for-sale/5080/la-bruyere/vbd82920
17,https://immovlan.be/en/detail/residence/for-sale/5080/rhisnes/vbd90526
17,https://immovlan.be/en/detail/bungalow/for-sale/5080/rhisnes/vbd24418
17,https://immovlan.be/en/detail/mansion/for-sale/5080/rhisnes/vbd50636
17,https://immovlan.be/en/detail/residence/for-sale/5080/rhisnes/vba47096
17,https://immovlan.be/en/detail/residence/for-sale/5081/meux/vbd88133
17,https://immovlan.be/en/detail/residence/for-sale/5081/meux/vbd85914
17,https://immovlan.be/en/detail/residence/for-sale/5081/meux/vbd59481
17,https://immovlan.be/en/detail/residence/for-sale/5081/bovesse/vaz90803
17,https://immovlan.be/en/detail/residence/for-sale/5081/bovesse/vbd58833
18,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd90371
18,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd89013
18,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd88732
18,https://immovlan.be/en/detail/villa/for-sale/5100/wepion/vbd88555
18,https://immovlan.be/en/detail/apartment/for-sale/5100/wepion/vbd88503
18,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbd87645
18,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd86365
18,https://immovlan.be/en/detail/penthouse/for-sale/5100/jambes/vbd57709
18,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd57708
18,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd11497
18,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd57707
18,https://immovlan.be/en/detail/residence/for-sale/5100/dave/vbd79002
19,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd64125
19,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd61530
19,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbd84585
19,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbd84584
19,https://immovlan.be/en/detail/mixed-building/for-sale/5100/dave/vbd84583
19,https://immovlan.be/en/detail/residence/for-sale/5100/wierde/vbd82765
19,https://immovlan.be/en/detail/residence/for-sale/5100/wierde/vbd81193
19,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd78983
19,https://immovlan.be/en/detail/residence/for-sale/5100/dave/vbc64088
19,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd39688
19,https://immovlan.be/en/detail/residence/for-sale/5100/naninne/vbd32557
19,https://immovlan.be/en/detail/residence/for-sale/5100/naninne/vbd32556
19,https://immovlan.be/en/detail/mixed-building/for-sale/5100/wepion/vbd09864
19,https://immovlan.be/en/detail/ground-floor/for-sale/5100/dave/vbd33134
19,https://immovlan.be/en/detail/duplex/for-sale/5100/jambes/vbb89857
19,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbc59365
19,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd56913
19,https://immovlan.be/en/detail/residence/for-sale/5100/wepion/vbd43949
19,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd18022
19,https://immovlan.be/en/detail/bungalow/for-sale/5100/dave/vbd67655
20,https://immovlan.be/en/detail/apartment/for-sale/5100/dave/vbd65348
20,https://immovlan.be/en/detail/duplex/for-sale/5100/dave/vbd65342
20,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd37237
20,https://immovlan.be/en/detail/residence/for-sale/5100/wepion/vbd62211
20,https://immovlan.be/en/detail/mixed-building/for-sale/5100/dave/vbd70949
20,https://immovlan.be/en/detail/villa/for-sale/5100/wepion/vbd24579
20,https://immovlan.be/en/detail/apartment/for-sale/5100/jambes/vbd65907
20,https://immovlan.be/en/detail/residence/for-sale/5100/jambes/vbd33683
